小区,位置,户型,面积,朝向,装修,楼层,年份,台楼,其他
红群楼 ,地王,2室2厅 , 72.71平米 , 南 北 , 其他 , 高楼层(共6层) , 1986年建 , 板塔结合,
兴业大厦 ,春风路,3室2厅 , 85.18平米 , 东南 , 精装 , 19层 , 1984年建 , 塔楼,
大塘垅小区 ,地王,3室1厅 , 74.88平米 , 南 , 精装 , 中楼层(共7层) , 1984年建 , 板塔结合,
金色都汇 ,春风路,2室1厅 , 46平米 , 南 , 精装 , 中楼层(共25层) , 2004年建 , 板楼,
湖滨新村 ,黄贝岭,2室1厅 , 51.8平米 , 南 , 简装 , 6层 , 1982年建 , 板塔结合,
景贝南小区 ,黄贝岭,3室1厅 , 90.77平米 , 东南 , 精装 , 低楼层(共7层) , 1985年建 , 板塔结合,
英达花园 ,布心,3室1厅 , 83.05平米 , 南 , 简装 , 低楼层(共29层) , 1995年建 , 塔楼,
城市天地广场 ,万象城,1室1厅 , 50.43平米 , 北 , 精装 , 中楼层(共41层) , 2005年建 , 板塔结合,
百仕达花园一期 ,百仕达,6室1厅 , 272.07平米 , 南 , 其他 , 低楼层(共10层) , 1998年建 , 板楼,
愉天小区 ,翠竹,2室1厅 , 43.1平米 , 南 , 简装 , 8层 , 1992年建 , 板楼,
港岛银座 ,地王,1室1厅 , 42.14平米 , 东南 , 精装 , 高楼层(共32层) , 2006年建 , 板楼,
梧桐山新居二期 ,莲塘,3室2厅 , 87.43平米 , 南 , 其他 , 低楼层(共9层) , 2003年建 , 塔楼,
泊林花园 ,翠竹,3室1厅 , 74.33平米 , 东南 , 精装 , 高楼层(共23层) , 2006年建 , 塔楼,
天井湖小区 ,黄贝岭,3室2厅 , 83.59平米 , 东南 , 精装 , 中楼层(共6层) , 1985年建 , 塔楼,
钻石时代 ,春风路,1室0厅 , 27.17平米 , 东 , 精装 , 低楼层(共20层) , 2008年建 , 板塔结合,
百仕达花园一期 ,百仕达,2室1厅 , 76.43平米 , 东南 北 , 其他 , 中楼层(共9层) , 1997年建 , 板楼,
国际名园 ,春风路,1室1厅 , 46.71平米 , 东南 , 精装 , 低楼层(共31层) , 2004年建 , 板塔结合,
嘉宝田花园 ,笋岗,3室2厅 , 109.84平米 , 北 , 其他 , 低楼层(共25层) , 2003年建 , 板塔结合,
星桂园 ,地王,2室1厅 , 58.24平米 , 东南 , 简装 , 高楼层(共20层) , 2004年建 , 板塔结合,
佳宁娜广场 ,春风路,2室1厅 , 98.18平米 , 东南 , 精装 , 低楼层(共26层) , 1997年建 , 板塔结合,
长丰苑 ,春风路,2室1厅 , 77.55平米 , 南 , 精装 , 31层 , 1999年建 , 板塔结合,
雍翠华府 ,布心,3室1厅 , 75.63平米 , 西北 , 精装 , 32层 , 2004年建 , 塔楼,
景贝南小区 ,黄贝岭,4室1厅 , 90.77平米 , 东南 , 其他 , 中楼层(共7层) , 1986年建 , 板楼,
百仕达花园二期 ,百仕达,3室2厅 , 99.45平米 , 南 北 , 简装 , 中楼层(共18层) , 2000年建 , 塔楼,
靖轩豪苑 ,黄贝岭,2室2厅 , 73.28平米 , 南 , 精装 , 32层 , 2017年建 , 塔楼,
合正荣悦 ,黄贝岭,3室1厅 , 87.16平米 , 南 , 简装 , 中楼层(共32层) , 2013年建 , 塔楼,
公路局大院 ,翠竹,2室1厅 , 68.59平米 , 南 , 简装 , 中楼层(共6层) , 1992年建 , 板塔结合,
京基东方颐园 ,螺岭,3室1厅 , 91.62平米 , 南 , 简装 , 高楼层(共33层) , 2009年建 , 塔楼,
翠榕花园 ,莲塘,3室2厅 , 86.12平米 , 南 , 简装 , 高楼层(共7层) , 1998年建 , 板楼,
华盛君荟名庭 ,东门,3室2厅 , 88.52平米 , 东南 , 精装 , 27层 , 2012年建 , 板塔结合,
松泉山庄 ,布心,5室2厅 , 172.61平米 , 南 , 精装 , 低楼层(共6层) , 1998年建 , 板塔结合,
松泉山庄 ,布心,3室2厅 , 130.06平米 , 南 , 简装 , 低楼层(共13层) , 1997年建 , 板塔结合,
名骏豪庭 ,莲塘,2室1厅 , 70.54平米 , 南 , 精装 , 19层 , 2003年建 , 塔楼,
百仕达乐湖 ,百仕达,4室2厅 , 180.27平米 , 南 , 精装 , 高楼层(共34层) , 2008年建 , 塔楼,
四季御园 ,莲塘,3室1厅 , 82.52平米 , 南 , 精装 , 低楼层(共39层) , 2015年建 , 板塔结合,
华达园公寓 ,百仕达,1室0厅 , 28.09平米 , 西北 , 简装 , 33层 , 2005年建 , 板塔结合,
京基东方都会 ,新秀,1室1厅 , 35.53平米 , 南 西 , 简装 , 低楼层(共32层) , 2004年建 , 塔楼,
港澳8号 ,东门,1室1厅 , 48.59平米 , 东南 , 精装 , 中楼层(共36层) , 2013年建 , 塔楼,
向西花园 ,春风路,3室1厅 , 70.6平米 , 东南 , 简装 , 中楼层(共8层) , 1995年建 , 板楼,
庐山花园 ,罗湖口岸,2室1厅 , 55.17平米 , 东南 , 精装 , 低楼层(共27层) , 1996年建 , 塔楼,
联城美园 ,春风路,1室0厅 , 28.48平米 , 西 , 简装 , 35层 , 2006年建 , 塔楼,
钻石时代 ,春风路,1室0厅 , 27.04平米 , 东 , 精装 , 中楼层(共20层) , 2008年建 , 板塔结合,
淘金山一期 ,布心,4室2厅 , 158.54平米 , 南 , 精装 , 中楼层(共32层) , 2006年建 , 塔楼,
新天地名居 ,黄贝岭,1室1厅 , 39.27平米 , 东南 , 精装 , 低楼层(共31层) , 2005年建 , 板塔结合,
东门168 ,螺岭,1室0厅 , 24.92平米 , 东南 , 其他 , 24层 , 2005年建 , 塔楼,
钻石时代 ,春风路,1室0厅 , 27平米 , 南 , 简装 , 中楼层(共20层) , 2008年建 , 板塔结合,
