挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
2023-05-16,商品房,2015-07-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2023-05-09,商品房,2020-03-17,普通住宅,暂无数据,非共有,"
                                有抵押 160万元 客户偿还
                              ",已上传房本照片
2023-04-28,商品房,1992-12-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2023-04-26,商品房,2019-05-29,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-06,商品房,2019-07-17,普通住宅,暂无数据,非共有,"
                                有抵押 260万元 客户偿还
                              ",已上传房本照片
2023-04-20,商品房,2004-10-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2023-04-23,商品房,2009-08-03,普通住宅,满五年,非共有,"
                                有抵押 30万元 工商银行 金融公司垫资
                              ",已上传房本照片
2023-05-15,商品房,2015-09-18,普通住宅,满五年,非共有,"
                                有抵押 180万元
                              ",已上传房本照片
2020-11-27,商品房,2012-06-07,普通住宅,满五年,非共有,"
                                有抵押 800万元 宁波银行 客户偿还
                              ",已上传房本照片
2023-04-24,商品房,2015-06-15,普通住宅,满五年,非共有,"
                                有抵押 中国银行
                              ",已上传房本照片
2023-04-24,商品房,2016-08-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-25,商品房,2012-12-11,普通住宅,满五年,非共有,"
                                有抵押 470万元 / 客户偿还
                              ",已上传房本照片
2023-04-26,商品房,2005-11-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-29,商品房,2014-01-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-05,商品房,2017-09-15,普通住宅,满五年,非共有,"
                                有抵押 90万元 业主自还
                              ",已上传房本照片
2023-05-06,商品房,2016-03-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-11,商品房,2016-04-16,普通住宅,满五年,非共有,"
                                有抵押 160万元 银行 客户偿还
                              ",已上传房本照片
2021-11-03,商品房,2004-04-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 40万元 公积金 客户偿还
                              ",未上传房本照片
2023-04-18,商品房,2013-01-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-13,商品房,2002-05-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-02-03,商品房,2010-11-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-02-22,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片
2023-04-09,商品房,2005-11-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-04,商品房,2015-11-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-02-13,商品房,2009-09-09,普通住宅,满五年,非共有,"
                                有抵押 600万元
                              ",已上传房本照片
2021-09-09,商品房,2015-05-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-03-17,商品房,2010-07-26,普通住宅,满五年,非共有,"
                                有抵押 200万元 平安银行 金融公司垫资
                              ",已上传房本照片
2023-03-17,商品房,2012-11-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-07-09,商品房,2019-01-11,普通住宅,暂无数据,共有,"
                                有抵押 650万元 客户偿还
                              ",已上传房本照片
2023-05-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 300万元 客户偿还
                              ",未上传房本照片
2023-05-14,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2023-02-09,商品房,2017-03-02,普通住宅,满五年,非共有,"
                                有抵押 800万元 中国银行 客户偿还
                              ",已上传房本照片
2020-04-12,商品房,2016-10-18,普通住宅,满五年,非共有,"
                                有抵押 280万元 中国银行 客户偿还
                              ",已上传房本照片
2023-05-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 62万元 银行 客户偿还
                              ",未上传房本照片
2023-02-03,商品房,2005-03-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-16,商品房,2005-08-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-04-22,商品房,2010-04-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-11,商品房,2008-05-22,公寓,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-02-18,商品房,2016-02-05,普通住宅,满五年,非共有,"
                                有抵押 70万元 建设银行 客户偿还
                              ",已上传房本照片
2023-02-24,商品房,2010-06-13,普通住宅,满五年,非共有,"
                                有抵押 26万元 工商银行 金融公司垫资
                              ",已上传房本照片
2023-04-12,商品房,2007-07-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-01,商品房,2018-04-18,普通住宅,满五年,非共有,"
                                有抵押 建设
                              ",已上传房本照片
2023-04-19,商品房,2018-07-20,普通住宅,暂无数据,非共有,"
                                有抵押 150万元 光大银行 金融公司垫资
                              ",已上传房本照片
2023-05-04,商品房,2015-03-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-22,商品房,2018-06-27,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-28,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2023-05-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-21,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 200万元 农业银行 金融公司垫资
                              ",未上传房本照片
2022-05-25,商品房,2004-04-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 工商 金融公司垫资
                              ",未上传房本照片
2022-08-26,商品房,2010-09-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2021-07-30,商品房,2017-04-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-04,商品房,2017-12-29,普通住宅,满五年,非共有,"
                                有抵押 180万元
                              ",已上传房本照片
2022-07-04,商品房,2016-09-13,普通住宅,满五年,共有,"
                                有抵押 147万元 中国银行 客户偿还
                              ",已上传房本照片
2023-04-08,商品房,2009-07-24,普通住宅,满五年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
2023-03-13,商品房,2016-02-29,普通住宅,满五年,非共有,"
                                有抵押 44万元 中国银行 客户偿还
                              ",已上传房本照片
2023-05-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 500万元 客户偿还
                              ",未上传房本照片
2022-10-25,商品房,2016-01-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-13,商品房,2016-02-29,普通住宅,满五年,非共有,"
                                有抵押 44万元 中国银行 客户偿还
                              ",已上传房本照片
2023-03-19,商品房,2019-03-06,普通住宅,暂无数据,共有,"
                                有抵押 120万元 中国银行 客户偿还
                              ",已上传房本照片
2023-03-16,商品房,2006-04-05,普通住宅,满五年,非共有,"
                                有抵押 250万元 250 业主自还
                              ",已上传房本照片
2023-05-11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-03-07,商品房,2015-07-20,普通住宅,满五年,非共有,"
                                有抵押 45万元 中国银行 金融公司垫资
                              ",已上传房本照片
2022-10-09,商品房,2016-09-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-02-18,商品房,2013-04-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-03-17,商品房,2019-03-13,普通住宅,暂无数据,非共有,"
                                有抵押 80万元 工商银行
                              ",已上传房本照片
2023-03-06,商品房,2013-03-30,普通住宅,满五年,非共有,"
                                有抵押 30万元 中国银行 业主自还
                              ",已上传房本照片
2022-12-10,商品房,2013-03-18,普通住宅,满五年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
2022-12-08,商品房,2017-12-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-02-25,商品房,2009-12-24,普通住宅,满五年,非共有,"
                                有抵押 35万元 客户偿还
                              ",已上传房本照片
2023-03-14,商品房,2009-12-29,普通住宅,满五年,共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片
2022-09-15,商品房,2000-04-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-01-04,商品房,2019-01-04,普通住宅,暂无数据,非共有,"
                                有抵押 35万元 XX银行 客户偿还
                              ",已上传房本照片
2023-02-08,商品房,2019-03-07,普通住宅,暂无数据,共有,"
                                有抵押
                              ",已上传房本照片
2021-07-06,商品房,2016-10-09,普通住宅,满五年,非共有,"
                                有抵押 90万元 客户偿还
                              ",已上传房本照片
2023-01-03,商品房,2013-01-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-06-16,商品房,2019-06-27,普通住宅,暂无数据,非共有,"
                                有抵押 130万元
                              ",已上传房本照片
2023-01-05,商品房,2016-01-19,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
2022-12-09,商品房,2017-11-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-07,商品房,2018-06-28,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-30,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2020-12-17,商品房,2013-08-01,普通住宅,满五年,共有,"
                                有抵押 200万元 中国建设银行 金融公司垫资
                              ",已上传房本照片
2023-05-13,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 46万元
                              ",未上传房本照片
2022-04-08,商品房,2004-03-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-09-15,商品房,2017-05-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2020-12-28,商品房,2015-06-05,普通住宅,满五年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
2023-05-07,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 业主自还
                              ",未上传房本照片
2022-08-16,商品房,2015-11-10,普通住宅,满五年,非共有,"
                                有抵押 100万元 中国工商银行 金融公司垫资
                              ",已上传房本照片
2023-04-09,商品房,2012-01-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2023-05-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-16,商品房,2015-05-27,普通住宅,满五年,非共有,"
                                有抵押 110万元 中国银行
                              ",已上传房本照片
